Format Version,1.21,Take Name,Take 2024-08-16 11.50.01 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.50.01.587 AM,Total Frames in Take,2114,Total Exported Frames,2114,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.320000,0.001131,0.024811,-0.002337,0.999689,0.167419,0.017367,0.164087,0.000275,0.198288,0.012579,0.122460,0.957170,0.145923,0.034508,0.140720,0.971328,0.217099,0.012819,0.179412,0.915247,0.176128,0.013499,0.223685,0.937872,0.099658,0.013428,0.154160,0.871366,0.198244,0.012533,0.122491,0.146051,0.034264,0.141009,0.217560,0.013154,0.179601,0.176504,0.013527,0.223832,0.099303,0.013619,0.153873,0.000566,0.018382,0.004425,0.009328,0.018092,-0.195091,0.159269,0.018584,-0.188601,0.200779,0.376962,0.203667,0.169285,0.375879,0.104655,0.098759,0.376885,0.182350,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.340000,0.001154,0.024850,-0.002320,0.999688,0.167426,0.017364,0.164087,0.000274,0.198291,0.012579,0.122457,0.957375,0.145927,0.034506,0.140723,0.971244,0.217107,0.012817,0.179408,0.917001,0.176139,0.013494,0.223684,0.938386,0.099664,0.013424,0.154165,0.872926,0.198247,0.012532,0.122488,0.146055,0.034262,0.141011,0.217573,0.013153,0.179596,0.176516,0.013526,0.223831,0.099313,0.013605,0.153888,0.000567,0.018381,0.004423,0.009338,0.018406,-0.195391,0.159274,0.018590,-0.188601,0.200784,0.376956,0.203675,0.169283,0.375883,0.104651,0.098755,0.376892,0.182364,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.360000,0.001118,0.024833,-0.002337,0.999688,0.167424,0.017365,0.164090,0.000272,0.198290,0.012576,0.122462,0.957382,0.145926,0.034506,0.140724,0.970892,0.217105,0.012818,0.179413,0.917861,0.176135,0.013499,0.223688,0.939459,0.099662,0.013426,0.154166,0.874942,0.198245,0.012530,0.122494,0.146058,0.034262,0.141011,0.217569,0.013153,0.179603,0.176510,0.013532,0.223835,0.099320,0.013598,0.153902,0.000567,0.018385,0.004419,0.009230,0.018328,-0.195398,0.159270,0.018586,-0.188598,0.200792,0.376962,0.203680,0.169292,0.375878,0.104660,0.098639,0.377104,0.182306,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.380000,0.001133,0.024832,-0.002325,0.999688,0.167423,0.017360,0.164089,0.000270,0.198290,0.012573,0.122460,0.957382,0.145925,0.034501,0.140722,0.970892,0.217104,0.012813,0.179411,0.917861,0.176135,0.013492,0.223686,0.939459,0.099662,0.013420,0.154164,0.874942,0.198244,0.012525,0.122491,0.146053,0.034260,0.141008,0.217566,0.013149,0.179603,0.176512,0.013522,0.223831,0.099321,0.013597,0.153894,0.000570,0.018382,0.004423,0.009192,0.018269,-0.195371,0.159275,0.018585,-0.188598,0.200793,0.376961,0.203671,0.169295,0.375877,0.104645,0.098761,0.376883,0.182359,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.400000,0.001179,0.024827,-0.002362,0.999688,0.167426,0.017367,0.164080,0.000278,0.198293,0.012581,0.122451,0.957854,0.145929,0.034511,0.140715,0.971527,0.217106,0.012815,0.179403,0.918053,0.176136,0.013493,0.223678,0.939968,0.099664,0.013433,0.154154,0.875515,0.198249,0.012534,0.122482,0.146058,0.034271,0.141003,0.217573,0.013152,0.179592,0.176514,0.013520,0.223820,0.099304,0.013626,0.153860,0.000572,0.018397,0.004414,0.009195,0.018272,-0.195383,0.159277,0.018589,-0.188605,0.200791,0.376960,0.203666,0.169295,0.375886,0.104626,0.098706,0.377166,0.182203,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.420000,0.001185,0.024828,-0.002383,0.999688,0.167422,0.017372,0.164075,0.000272,0.198288,0.012586,0.122445,0.958256,0.145926,0.034518,0.140710,0.972962,0.217102,0.012818,0.179397,0.919182,0.176132,0.013497,0.223672,0.937903,0.099660,0.013441,0.154149,0.871549,0.198248,0.012536,0.122477,0.146054,0.034275,0.140998,0.217554,0.013158,0.179581,0.176513,0.013518,0.223816,0.099301,0.013642,0.153846,0.000564,0.018398,0.004411,0.009191,0.018266,-0.195382,0.159274,0.018589,-0.188611,0.200783,0.376959,0.203663,0.169292,0.375924,0.104629,0.098704,0.377169,0.182196,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.440000,0.001172,0.024873,-0.002318,0.999687,0.167424,0.017361,0.164087,0.000276,0.198287,0.012578,0.122455,0.957827,0.145924,0.034503,0.140724,0.971067,0.217106,0.012814,0.179405,0.916046,0.176140,0.013489,0.223683,0.938055,0.099662,0.013421,0.154167,0.871859,0.198245,0.012529,0.122489,0.146050,0.034263,0.141014,0.217577,0.013149,0.179592,0.176518,0.013523,0.223830,0.099308,0.013604,0.153888,0.000568,0.018386,0.004423,0.009340,0.018402,-0.195391,0.159275,0.018588,-0.188604,0.200789,0.376952,0.203680,0.169290,0.375877,0.104661,0.098758,0.376886,0.182365,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.460000,0.001096,0.024824,-0.002282,0.999689,0.167413,0.017360,0.164097,0.000269,0.198281,0.012573,0.122469,0.957827,0.145914,0.034497,0.140729,0.971067,0.217095,0.012819,0.179421,0.916046,0.176124,0.013497,0.223695,0.938055,0.099653,0.013413,0.154171,0.871859,0.198239,0.012528,0.122496,0.146049,0.034245,0.141023,0.217544,0.013158,0.179609,0.176503,0.013541,0.223857,0.099314,0.013586,0.153912,0.000562,0.018372,0.004436,0.009180,0.018267,-0.195365,0.159264,0.018588,-0.188590,0.200794,0.376956,0.203676,0.169282,0.375871,0.104678,0.098699,0.377156,0.182246,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.480000,0.001153,0.024846,-0.002332,0.999688,0.167419,0.017361,0.164088,0.000276,0.198285,0.012576,0.122458,0.956169,0.145921,0.034503,0.140723,0.972739,0.217101,0.012813,0.179409,0.920648,0.176132,0.013491,0.223685,0.938041,0.099657,0.013422,0.154165,0.875747,0.198241,0.012527,0.122494,0.146046,0.034260,0.141014,0.217565,0.013146,0.179597,0.176512,0.013522,0.223829,0.099296,0.013623,0.153865,0.000559,0.018384,0.004425,0.009192,0.018269,-0.195371,0.159269,0.018586,-0.188599,0.200787,0.376959,0.203670,0.169280,0.375881,0.104650,0.098694,0.377165,0.182214,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.500000,0.001204,0.024842,-0.002384,0.999688,0.167417,0.017367,0.164078,0.000278,0.198283,0.012583,0.122447,0.958201,0.145921,0.034514,0.140714,0.971543,0.217098,0.012813,0.179399,0.915333,0.176129,0.013490,0.223674,0.937828,0.099655,0.013437,0.154154,0.869692,0.198240,0.012532,0.122482,0.146044,0.034276,0.141000,0.217568,0.013149,0.179586,0.176511,0.013512,0.223816,0.099291,0.013638,0.153851,0.000561,0.018395,0.004423,0.009250,0.018322,-0.195282,0.159269,0.018590,-0.188608,0.200779,0.376961,0.203664,0.169277,0.375889,0.104619,0.098698,0.377169,0.182201,,,,,,,,,,,,,,,,,,,,,,,,,,,
