Format Version,1.21,Take Name,Take 2024-08-16 12.02.44 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.02.44.267 AM,Total Frames in Take,1990,Total Exported Frames,1990,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.320000,0.000556,-0.080065,0.000993,0.996789,0.215028,0.017190,0.148041,0.000316,0.253923,0.012572,0.113770,0.938767,0.198766,0.034172,0.120671,0.926009,0.260451,0.012981,0.173392,0.858337,0.211149,0.013427,0.208154,0.946688,0.150849,0.012800,0.124219,0.932769,0.254048,0.012401,0.114061,0.198766,0.034224,0.120604,0.259954,0.012968,0.172950,0.211383,0.013474,0.208488,0.150923,0.012733,0.124316,0.000503,0.018399,0.004472,0.009142,0.018531,-0.195484,0.159270,0.018579,-0.188604,0.229362,0.375848,0.091158,0.239571,0.376183,0.194029,0.143899,0.376865,0.151122,,,,,,,,,,,,,,,,,,,,,,,,
17,0.340000,0.000491,-0.080172,0.000996,0.996780,0.215039,0.017194,0.148041,0.000323,0.253941,0.012571,0.113779,0.939868,0.198783,0.034172,0.120664,0.923684,0.260457,0.012987,0.173402,0.857222,0.211147,0.013438,0.208153,0.945583,0.150865,0.012801,0.124205,0.930140,0.254054,0.012399,0.114064,0.198772,0.034220,0.120605,0.259952,0.012977,0.172956,0.211383,0.013496,0.208503,0.150964,0.012746,0.124289,0.000502,0.018396,0.004476,0.009187,0.018683,-0.195583,0.159271,0.018577,-0.188600,0.229384,0.375836,0.091187,0.239575,0.376188,0.194037,0.143906,0.376862,0.151126,,,,,,,,,,,,,,,,,,,,,,,,
18,0.360000,0.000638,-0.080149,0.000863,0.996782,0.215016,0.017183,0.148037,0.000347,0.253916,0.012562,0.113771,0.932390,0.198763,0.034174,0.120667,0.921228,0.260434,0.012957,0.173394,0.839982,0.211127,0.013409,0.208148,0.946214,0.150841,0.012813,0.124203,0.926653,0.254049,0.012401,0.114066,0.198774,0.034224,0.120600,0.259878,0.012875,0.172859,0.211377,0.013500,0.208503,0.150929,0.012728,0.124320,0.000500,0.018400,0.004480,0.009148,0.018527,-0.195481,0.159269,0.018579,-0.188599,0.229381,0.375845,0.091160,0.239570,0.376182,0.194037,0.143907,0.376864,0.151121,,,,,,,,,,,,,,,,,,,,,,,,
19,0.380000,0.000777,-0.080093,0.000808,0.996787,0.215021,0.017182,0.148024,0.000347,0.253917,0.012567,0.113753,0.932390,0.198767,0.034182,0.120661,0.921228,0.260442,0.012945,0.173375,0.839982,0.211138,0.013391,0.208134,0.946214,0.150843,0.012824,0.124196,0.926653,0.254055,0.012404,0.114054,0.198769,0.034237,0.120591,0.259890,0.012861,0.172841,0.211389,0.013474,0.208477,0.150931,0.012742,0.124310,0.000507,0.018405,0.004466,0.009228,0.018017,-0.194959,0.159275,0.018577,-0.188611,0.229371,0.375852,0.091135,0.239570,0.376184,0.194018,0.143903,0.376872,0.151096,,,,,,,,,,,,,,,,,,,,,,,,
20,0.400000,0.000578,-0.080080,0.000956,0.996788,0.215031,0.017193,0.148032,0.000317,0.253927,0.012574,0.113762,0.931063,0.198772,0.034177,0.120662,0.921092,0.260454,0.012979,0.173384,0.840506,0.211151,0.013426,0.208144,0.946819,0.150854,0.012808,0.124207,0.926735,0.254055,0.012402,0.114054,0.198769,0.034238,0.120587,0.259962,0.012960,0.172938,0.211387,0.013477,0.208483,0.150925,0.012741,0.124303,0.000501,0.018404,0.004471,0.009147,0.018533,-0.195491,0.159272,0.018580,-0.188610,0.229370,0.375850,0.091135,0.239560,0.376185,0.194017,0.143898,0.376871,0.151088,,,,,,,,,,,,,,,,,,,,,,,,
21,0.420000,0.000535,-0.080091,0.000982,0.996787,0.215030,0.017194,0.148039,0.000318,0.253926,0.012573,0.113771,0.938269,0.198770,0.034175,0.120668,0.926587,0.260451,0.012984,0.173393,0.858232,0.211148,0.013432,0.208152,0.946602,0.150852,0.012804,0.124214,0.932854,0.254051,0.012403,0.114060,0.198771,0.034228,0.120600,0.259953,0.012965,0.172944,0.211383,0.013486,0.208491,0.150927,0.012735,0.124312,0.000504,0.018403,0.004477,0.008996,0.017788,-0.194969,0.159269,0.018582,-0.188605,0.229363,0.375853,0.091148,0.239533,0.376191,0.194083,0.143895,0.376868,0.151111,,,,,,,,,,,,,,,,,,,,,,,,
22,0.440000,0.000446,-0.080068,0.001013,0.996789,0.215029,0.017192,0.148050,0.000318,0.253925,0.012567,0.113780,0.938793,0.198768,0.034167,0.120675,0.926769,0.260453,0.012989,0.173402,0.856834,0.211151,0.013441,0.208163,0.947108,0.150851,0.012795,0.124228,0.932878,0.254050,0.012399,0.114065,0.198773,0.034214,0.120612,0.259946,0.012974,0.172955,0.211382,0.013493,0.208500,0.150926,0.012725,0.124330,0.000501,0.018395,0.004477,0.009210,0.017996,-0.194939,0.159269,0.018581,-0.188596,0.229375,0.375835,0.091183,0.239578,0.376137,0.194056,0.143897,0.376862,0.151130,,,,,,,,,,,,,,,,,,,,,,,,
23,0.460000,0.000489,-0.080170,0.001006,0.996781,0.215034,0.017192,0.148046,0.000320,0.253936,0.012570,0.113784,0.938793,0.198777,0.034170,0.120670,0.926769,0.260452,0.012987,0.173407,0.856834,0.211143,0.013437,0.208158,0.947108,0.150860,0.012798,0.124211,0.932878,0.254044,0.012398,0.114068,0.198767,0.034219,0.120608,0.259949,0.012975,0.172960,0.211370,0.013486,0.208499,0.150965,0.012740,0.124299,0.000494,0.018396,0.004483,0.009136,0.018526,-0.195477,0.159263,0.018579,-0.188597,0.229364,0.375846,0.091170,0.239570,0.376185,0.194034,0.143897,0.376865,0.151127,,,,,,,,,,,,,,,,,,,,,,,,
24,0.480000,0.000765,-0.080202,0.000818,0.996778,0.215023,0.017182,0.148026,0.000351,0.253926,0.012567,0.113764,0.939935,0.198774,0.034181,0.120659,0.924291,0.260438,0.012947,0.173388,0.857382,0.211127,0.013393,0.208136,0.947701,0.150850,0.012823,0.124185,0.930172,0.254052,0.012405,0.114062,0.198765,0.034223,0.120603,0.259880,0.012866,0.172848,0.211381,0.013480,0.208487,0.150959,0.012757,0.124283,0.000501,0.018402,0.004473,0.009144,0.018531,-0.195485,0.159268,0.018576,-0.188601,0.229366,0.375854,0.091144,0.239570,0.376182,0.194023,0.143898,0.376869,0.151107,,,,,,,,,,,,,,,,,,,,,,,,
25,0.500000,0.000537,-0.080073,0.000944,0.996788,0.215029,0.017195,0.148036,0.000317,0.253925,0.012573,0.113766,0.937643,0.198770,0.034178,0.120665,0.926783,0.260452,0.012982,0.173388,0.859021,0.211150,0.013434,0.208149,0.947173,0.150851,0.012811,0.124213,0.933023,0.254047,0.012403,0.114059,0.198767,0.034229,0.120600,0.259964,0.012954,0.172932,0.211387,0.013484,0.208483,0.150927,0.012746,0.124306,0.000503,0.018405,0.004472,0.009145,0.018524,-0.195480,0.159274,0.018582,-0.188607,0.229374,0.375849,0.091137,0.239645,0.376121,0.193930,0.143901,0.376873,0.151094,,,,,,,,,,,,,,,,,,,,,,,,
